ID,Timestamp,Hostname,IP_Address,Logged_USER,CPU_Model,CPU_Temperature,CPU_Core,CPU_Thread,CPU_ClockSpeed,CPU_Utilization_pct,RAM_Total_GB,RAM_Usage_pct,RAM_Used_GB,Disk_Name,Disk_Size_GB,Disk_Total_GB,Disk_Used_GB,Disk_Free_GB,Disk_Usage_pct,Monitor_Vendor,Monitor_Model,Mouse_Vendor,Mouse_Model,Keyboard_Vendor,Keyboard_Model
1,2025-11-01 00:00:00,host1,192.168.114.185,carol,Intel i5-10400,50.3,6,8,3.39,90.6,16,56.9,9.1,sdb,1024,1024,734.5,289.5,71.7,LG,U2419H,Razer,MX Master 3,Logitech,K380
2,2025-11-01 00:15:00,host1,192.168.134.47,heidi,AMD Ryzen 5 3600,49.2,8,8,2.24,49,16,97.5,15.6,sda,1024,1024,858.2,165.8,83.8,LG,S24R650,Microsoft,IntelliMouse,Logitech,K70
3,2025-11-01 00:30:00,host1,192.168.204.60,dave,Intel i7-10700,76.7,4,16,2.05,77.3,8,68.8,5.5,sda,2048,2048,265.7,1782.3,13,LG,27UK850,Microsoft,DeathAdder,Corsair,K380
4,2025-11-01 00:45:00,host1,192.168.66.172,eve,AMD Ryzen 7 3700X,75.4,6,12,3.41,33.1,8,30,2.4,sda,512,512,144.5,367.5,28.2,LG,S24R650,Microsoft,DeathAdder,Corsair,Ergonomic
5,2025-11-01 01:00:00,host1,192.168.164.68,alice,AMD Ryzen 5 3600,32,4,12,2.55,34.6,32,44.1,14.1,nvme0n1,512,512,141.2,370.8,27.6,Dell,27UK850,Razer,IntelliMouse,Corsair,K70
6,2025-11-01 01:15:00,host1,192.168.185.227,eve,Intel i5-10400,57.6,4,8,3.46,34.6,8,92.5,7.4,sda,1024,1024,686.3,337.7,67,LG,27UK850,Microsoft,DeathAdder,Logitech,K70
7,2025-11-01 01:30:00,host1,192.168.160.85,bob,AMD Ryzen 7 3700X,71,6,8,3.07,41.8,8,58.8,4.7,sda,512,512,405.9,106.1,79.3,Samsung,U2419H,Razer,IntelliMouse,Corsair,Ergonomic
8,2025-11-01 01:45:00,host1,192.168.121.29,grace,Intel i5-10400,70.3,4,12,2.89,13.1,64,55.8,35.7,sdb,256,256,155.8,100.2,60.9,Dell,S24R650,Logitech,IntelliMouse,Corsair,K380
9,2025-11-01 02:00:00,host1,192.168.20.248,carol,Intel i7-10700,83.1,6,8,3.75,7.4,32,6.2,2,sda,2048,2048,216,1832,10.5,Dell,S24R650,Logitech,MX Master 3,Logitech,Ergonomic
10,2025-11-01 02:15:00,host1,192.168.121.166,frank,AMD Ryzen 5 3600,83.4,6,8,3.23,58.3,64,19.2,12.3,sda,256,256,246.6,9.41,96.3,Dell,U2419H,Logitech,MX Master 3,Logitech,K70
11,2025-11-01 02:30:00,host1,192.168.4.166,frank,AMD Ryzen 5 3600,48,6,12,3.14,73.1,16,64.4,10.3,nvme0n1,2048,2048,284.6,1763.4,13.9,Dell,U2419H,Razer,IntelliMouse,Corsair,K380
12,2025-11-01 02:45:00,host1,192.168.17.238,judy,AMD Ryzen 7 3700X,49.9,6,16,3.51,70.8,32,38.8,12.4,nvme0n1,2048,2048,1897.1,150.9,92.6,Samsung,S24R650,Razer,IntelliMouse,Logitech,K380
13,2025-11-01 03:00:00,host1,192.168.28.243,ivan,AMD Ryzen 7 3700X,47.7,4,12,3.01,39.7,32,54.1,17.3,nvme0n1,512,512,365.4,146.6,71.4,Samsung,27UK850,Microsoft,DeathAdder,Corsair,K70
14,2025-11-01 03:15:00,host1,192.168.145.17,heidi,Intel i5-10400,49.5,4,8,2.8,76.3,8,100,8,sda,2048,2048,1888.5,159.5,92.2,Samsung,27UK850,Logitech,DeathAdder,Logitech,K70
15,2025-11-01 03:30:00,host1,192.168.46.94,bob,AMD Ryzen 7 3700X,38.4,8,8,2.57,6.9,16,33.8,5.4,sda,1024,1024,266.7,757.3,26,Samsung,27UK850,Logitech,MX Master 3,Corsair,K380
16,2025-11-01 03:45:00,host1,192.168.99.164,carol,Intel i7-10700,38.9,8,16,2.5,51.8,8,96.2,7.7,sdb,2048,2048,1115.6,932.4,54.5,Samsung,U2419H,Logitech,MX Master 3,Corsair,K70
17,2025-11-01 04:00:00,host1,192.168.147.130,judy,AMD Ryzen 5 3600,63.9,6,12,2.15,47.4,8,17.5,1.4,sda,256,256,187.3,68.7,73.2,Dell,U2419H,Logitech,DeathAdder,Corsair,K70
18,2025-11-01 04:15:00,host1,192.168.238.147,grace,Intel i7-10700,35.5,8,16,2.85,21.2,64,46.6,29.8,sdb,1024,1024,591.1,432.9,57.7,LG,U2419H,Razer,DeathAdder,Corsair,K70
19,2025-11-01 04:30:00,host1,192.168.219.157,grace,AMD Ryzen 7 3700X,80.7,8,16,3.31,82.1,64,41.2,26.4,sda,512,512,46.2,465.8,9,LG,U2419H,Microsoft,MX Master 3,Logitech,Ergonomic
